product_name,list_price
"Trek 820 - 2016",379.99
"Ritchey Timberwolf Frameset - 2016",749.99
"Surly Wednesday Frameset - 2016",999.99
"Trek Fuel EX 8 29 - 2016",2899.99
"Heller Shagamaw Frame - 2016",1320.99
"Surly Ice Cream Truck Frameset - 2016",469.99
"Trek Slash 8 27.5 - 2016",3999.99
"Trek Remedy 29 Carbon Frameset - 2016",1799.99
"Trek Conduit+ - 2016",2999.99
"Surly Straggler - 2016",1549.00
"Surly Straggler 650b - 2016",1680.99
"Electra Townie Original 21D - 2016",549.99
"Electra Cruiser 1 (24-Inch) - 2016",269.99
