product_id,product_name,model_year,list_price,brand_id,category_id
1,"Trek 820 - 2016",2016,379.99,9,6
2,"Ritchey Timberwolf Frameset - 2016",2016,749.99,5,6
3,"Surly Wednesday Frameset - 2016",2016,999.99,8,6
4,"Trek Fuel EX 8 29 - 2016",2016,2899.99,9,6
5,"Heller Shagamaw Frame - 2016",2016,1320.99,3,6
6,"Surly Ice Cream Truck Frameset - 2016",2016,469.99,8,6
7,"Trek Slash 8 27.5 - 2016",2016,3999.99,9,6
8,"Trek Remedy 29 Carbon Frameset - 2016",2016,1799.99,9,6
9,"Trek Conduit+ - 2016",2016,2999.99,9,5
10,"Surly Straggler - 2016",2016,1549.00,8,4
